0,1232,1122,3,2
18,1232,19,1,0
31,1232,1153,3,3
34,1232,0,0,1
47,1215,46,1,2
52,1232,53,2,1
59,1229,60,2,1
65,1232,31,0,2
68,1232,34,0,2
78,1169,79,2,1
79,1169,80,2,1
80,1169,81,2,1
81,1169,1169,4,0
86,1232,87,2,1
93,1178,127,3,0
93,1229,94,2,1
99,1232,65,0,3
102,1232,68,0,2
109,1229,143,3,0
110,1229,144,3,0
120,1232,121,2,1
126,1229,160,3,0
133,1232,99,0,3
136,1232,102,0,2
145,1166,146,2,1
146,1166,147,2,1
147,1166,148,2,1
148,1166,1166,4,0
149,1248,148,1,2
155,1232,156,2,1
161,1252,195,3,0
167,1232,133,0,3
170,1232,136,0,2
178,1228,144,0,3
191,1232,192,2,1
201,1232,167,0,3
204,1232,170,0,2
220,1252,186,0,3
226,1232,227,2,1
235,1232,201,0,3
238,1232,204,0,2
269,1232,235,0,3
272,1232,238,0,2
276,1249,310,3,0
278,1166,279,2,1
296,1232,262,0,3
303,1232,269,0,3
306,1232,272,0,2
320,1255,319,1,2
331,1232,297,0,3
337,1232,303,0,3
340,1232,306,0,2
365,1232,331,0,3
370,1214,371,2,1
371,1232,337,0,3
372,1185,371,1,2
374,1232,340,0,2
401,1232,367,0,3
405,1232,371,0,3
408,1232,374,0,2
410,1226,376,0,3
417,1166,383,0,3
417,1224,383,0,3
431,1159,432,2,1
431,1224,397,0,3
436,1232,402,0,3
437,1168,436,1,2
439,1232,405,0,3
441,1228,440,1,2
442,1232,408,0,2
453,1166,419,0,3
469,1185,468,1,2
471,1171,472,2,1
472,1232,438,0,3
473,1232,439,0,3
478,1211,512,3,0
487,1166,453,0,3
507,1232,473,0,3
513,1166,512,1,2
514,1166,513,1,2
519,1231,518,1,2
529,1166,530,2,1
536,1209,537,2,1
547,1166,546,1,2
563,1166,564,2,1
570,1159,536,0,3
581,1166,580,1,2
606,1159,572,0,3
623,1163,622,1,2
650,1163,649,1,2
666,1159,665,1,2
666,1163,667,2,1
667,1159,666,1,2
684,1163,683,1,2
685,1163,684,1,2
686,1163,685,1,2
700,1159,699,1,2
700,1163,701,2,1
721,1234,755,3,0
732,1166,766,3,0
734,1159,733,1,2
734,1163,735,2,1
735,1159,734,1,2
745,1233,711,0,3
761,1169,795,3,0
768,1163,769,2,1
776,1176,777,2,1
793,1166,827,3,0
802,1163,803,2,1
803,1238,837,3,0
810,1216,811,2,1
