0,143337779.8387234807
1000000000,143321562.9455435574
2000000000,143305918.5696389675
3000000000,143290922.5539303124
4000000000,143276477.4570878148
5000000000,143262664.0871312618
6000000000,143249480.3949580491
7000000000,143236816.1114209890
8000000000,143224840.2183175385
9000000000,143213450.8526613712
10000000000,143202679.5859319270
11000000000,143192523.2969213426
12000000000,143183020.6993650496
13000000000,149181292.8788951039
14000000000,149183434.4729400277
15000000000,149186314.7650234699
16000000000,149189944.4008157849
17000000000,149194216.2897188365
18000000000,149199214.6277891397
19000000000,149204936.7266255617
20000000000,149211377.7385737300
21000000000,149218481.1726312339
22000000000,149226283.7533700764
23000000000,149234814.3203139305
24000000000,149244033.1969679594
25000000000,149253953.8740386665
26000000000,149264568.7228921354
27000000000,149275885.0747322142
28000000000,149287910.0375382304
29000000000,149300570.9108448625
30000000000,149314025.8101252019
31000000000,149328076.4511024356
32000000000,149342891.0849890113
33000000000,149358355.5764738619
34000000000,149374621.0001561344
35000000000,149391512.6256688237
36000000000,149409073.8371222615
37000000000,149427349.5455309153
38000000000,149446344.0875665247
39000000000,149465963.4942299724
40000000000,149486341.7566530108
41000000000,149507398.4061391652
42000000000,149529129.4216199815
43000000000,149551651.3096663654
44000000000,149574751.9949634671
45000000000,149598583.5668612123
46000000000,149623104.8089672625
47000000000,149648349.2656812966
48000000000,149674263.0546773076
49000000000,149700841.4904223084
50000000000,149728178.8207474053
51000000000,149756169.9735681117
52000000000,149784861.2591750920
53000000000,149814189.1440825760
54000000000,149844295.3094539642
55000000000,149875048.2152539492
56000000000,149906462.0043583214
57000000000,149938540.5560685992
58000000000,149971357.4966317117
59000000000,150004869.0649356246
60000000000,150039057.0662058890
61000000000,150067713.1427720785
62000000000,150037385.4639717042
63000000000,150007826.7764582932
64000000000,149979042.2129426897
65000000000,149951099.7204374969
66000000000,149923997.7574042976
67000000000,149897563.0149863958
68000000000,149871989.7205411792
69000000000,149847241.4031745791
70000000000,149823194.5497247577
71000000000,149800133.4641025960
72000000000,149777706.5287428796
73000000000,149756244.4845250845
74000000000,149735434.5663250983
75000000000,149715528.2246068418
76000000000,149696486.1826102436
77000000000,149678257.8318878710
78000000000,149660841.6117778122
79000000000,149644189.5038024783
80000000000,149628437.1633237302
81000000000,149613489.5061150789
82000000000,149599334.3261090815
83000000000,149586091.4091432691
84000000000,149573612.9545581043
85000000000,149561957.8623673320
86000000000,149551211.4250824153
87000000000,149541267.3238221109
88000000000,149532182.8535352349
89000000000,149523882.8940121830
90000000000,149516461.3845247924
91000000000,149509842.9544265270
92000000000,149504099.3836495280
93000000000,149499168.7005549669
94000000000,149495051.8666987121
95000000000,149491860.5149372816
96000000000,149489432.0551792979
97000000000,149487828.5309740901
98000000000,149487130.8049559295
99000000000,149487194.4761461318
100000000000,149488108.5763024986
101000000000,149489843.4023680091
102000000000,149492492.6389882565
103000000000,149495899.4658388197
104000000000,149500137.1431002617
105000000000,149505233.4010231495
106000000000,149511188.7709124386
107000000000,149517911.7996824980
108000000000,149525428.4300283492
109000000000,149533799.6507290304
110000000000,149543035.4419379234
111000000000,149553047.2667574286
112000000000,149563889.1707362533
113000000000,149575548.1094883978
114000000000,149588125.2437095344
115000000000,149601462.4140376449
116000000000,149615507.5994086862
117000000000,149630435.9225052297
118000000000,149646174.7340671122
119000000000,149662655.7513181567
120000000000,149680069.1913871467
121000000000,149698181.8814695477
122000000000,149717082.5226192176
123000000000,149736798.6835401654
124000000000,149757339.2608212233
125000000000,149778678.5978355110
126000000000,149800726.0213113725
127000000000,149823625.7352859080
128000000000,149847305.9331339300
129000000000,149871733.1849234402
130000000000,149897000.3605459929
131000000000,149922913.6394498646
132000000000,149949661.2471896112
133000000000,149977249.0399363935
134000000000,150005476.5501641929
135000000000,150034504.2129254639
136000000000,150064283.8221209645
137000000000,150094808.3990217447
138000000000,150126061.2546511292
139000000000,150158116.2460147440
140000000000,150190850.9477419555
141000000000,150224327.6579051614
142000000000,150258531.5651837587
143000000000,150293465.8039848506
144000000000,150329151.1260597706
145000000000,150355323.4087447226
146000000000,150324796.4197185040
147000000000,150294962.4949683845
148000000000,150265775.8593068719
149000000000,150237310.6227094829
150000000000,150209384.8065160513
151000000000,150182163.2041510940
152000000000,143011822.7415450811
153000000000,142993509.1138603985
154000000000,142975912.0945261121
155000000000,142959033.1425366104
156000000000,142942689.0958180726
157000000000,142927133.4867662489
158000000000,142912286.7173290551
159000000000,142898070.8965450227
160000000000,142884477.6140259802
161000000000,142871677.8494979739
162000000000,142859469.2496045530
163000000000,142847892.6407465339
164000000000,142837163.2573000491
165000000000,142826934.4415225983
166000000000,142817448.4373762012
167000000000,142808634.4787637293
168000000000,142800481.9029659331
169000000000,142792999.9231802821
170000000000,142786183.4042312205
171000000000,142780055.2752737403
172000000000,142774586.6350767910
173000000000,142769798.1112298965
174000000000,142765677.7231584787
175000000000,142762172.8260127604
176000000000,142759298.5431227386
177000000000,142757140.1163675487
178000000000,142755662.8610495329
179000000000,142754841.6095572114
180000000000,142754644.4472434223
181000000000,142755106.1254860163
182000000000,142756238.6189354658
183000000000,142758037.0016640425
184000000000,142760432.6015929282
185000000000,142763560.1112880111
186000000000,142767289.1380549073
187000000000,142771597.8184105754
188000000000,142776592.2264358103
189000000000,142782285.0690073669
190000000000,142788597.5711539686
191000000000,142795551.5532271564
192000000000,142803136.0912911892
193000000000,142811320.7590274811
194000000000,142819880.2257253230
195000000000,142823748.0060107112
196000000000,142828244.5400307477
197000000000,142833385.4782264829
198000000000,142839155.7990770042
199000000000,142845542.7304582596
